iter	Logloss	Accuracy
0	0.5491123338	0.887647424
1	0.4931001065	0.887647424
2	0.4297847532	0.8944754811
3	0.3909841235	0.8870266915
4	0.3644172384	0.886405959
5	0.3381036493	0.8994413408
6	0.2979860134	0.8981998759
7	0.2833444933	0.9000620732
8	0.2628685661	0.9099937927
9	0.245064907	0.9118559901
10	0.2358827806	0.9137181875
11	0.227239005	0.9149596524
12	0.2251291658	0.9099937927
13	0.2214324161	0.9180633147
14	0.2194556535	0.9186840472
15	0.2183783647	0.9162011173
16	0.2154094835	0.9186840472
17	0.2093084447	0.9193047796
18	0.2076595425	0.9199255121
19	0.2044053958	0.9199255121
20	0.2027521231	0.921166977
21	0.2006141474	0.9199255121
22	0.1997495936	0.9199255121
23	0.1970641409	0.9193047796
24	0.1955993989	0.9199255121
25	0.1935812629	0.9199255121
26	0.192428849	0.9199255121
27	0.1886465503	0.921166977
28	0.1878721979	0.921166977
29	0.1871265647	0.9217877095
30	0.1861174391	0.9242706394
31	0.1849297832	0.9236499069
32	0.1844604479	0.9236499069
33	0.1841270746	0.9242706394
34	0.1831826116	0.9236499069
35	0.1823228747	0.9267535692
36	0.1822489543	0.9267535692
37	0.1809644054	0.9279950341
38	0.1808135056	0.9286157666
39	0.1798547312	0.9286157666
40	0.1798035163	0.9286157666
41	0.1796802054	0.9286157666
42	0.1784098135	0.9286157666
43	0.1778938629	0.9286157666
44	0.1778897471	0.9286157666
45	0.1769989525	0.9286157666
46	0.1768597627	0.9286157666
47	0.1761394329	0.930477964
48	0.1754959778	0.9286157666
49	0.175095095	0.9292364991
50	0.1746529266	0.930477964
51	0.1746349984	0.930477964
52	0.1743426558	0.9298572315
53	0.1738528588	0.9298572315
54	0.173834923	0.9298572315
55	0.1730890102	0.930477964
56	0.1725210512	0.9310986965
57	0.1723649313	0.9317194289
58	0.1716204317	0.9310986965
59	0.1714382426	0.9310986965
60	0.170820786	0.9310986965
61	0.1705799324	0.9310986965
62	0.1700357801	0.9317194289
63	0.1696571021	0.9310986965
64	0.1695466489	0.9310986965
65	0.1695458011	0.9310986965
66	0.1687127348	0.9310986965
67	0.1676645605	0.930477964
68	0.1670640161	0.9317194289
69	0.1666016253	0.9323401614
70	0.1661447266	0.9317194289
71	0.1657141838	0.9310986965
72	0.1653814346	0.9335816263
73	0.1642605071	0.9329608939
74	0.1640676866	0.9335816263
75	0.1638726232	0.9317194289
76	0.1637562512	0.9323401614
77	0.1630106097	0.9348230912
78	0.1612416512	0.9335816263
79	0.1610084099	0.9348230912
80	0.1606160687	0.9354438237
81	0.1601406335	0.9354438237
82	0.1599311268	0.9342023588
83	0.1593757828	0.9366852886
84	0.1588497848	0.9354438237
85	0.1578015067	0.9360645562
86	0.1575126297	0.9373060211
87	0.1571333026	0.9354438237
88	0.1569165293	0.9354438237
89	0.156563333	0.9354438237
90	0.1555296047	0.9379267536
91	0.1551468482	0.938547486
92	0.1543644726	0.939788951
93	0.154023061	0.9404096834
94	0.1537116992	0.9404096834
95	0.1533730911	0.939788951
96	0.1527386718	0.9404096834
97	0.1521543685	0.9410304159
98	0.151149506	0.9422718808
99	0.1503509896	0.9441340782
100	0.1500807746	0.9441340782
101	0.1472928159	0.9453755431
102	0.1466697357	0.9453755431
103	0.146483344	0.9453755431
104	0.1461278719	0.9472377405
105	0.1449085307	0.9484792055
106	0.1443858935	0.9484792055
107	0.1433429035	0.9472377405
108	0.1423931947	0.947858473
109	0.1413895065	0.9490999379
110	0.1403014532	0.9497206704
111	0.1400093745	0.9497206704
112	0.1397732997	0.9497206704
113	0.1386093418	0.9503414029
114	0.1382245835	0.9497206704
115	0.1380662824	0.9497206704
116	0.1378288978	0.9509621353
117	0.1377484125	0.9509621353
118	0.1374565742	0.9515828678
119	0.1373689195	0.9515828678
120	0.1372001101	0.9522036002
121	0.1366866145	0.9515828678
122	0.1365065335	0.9515828678
123	0.1350006235	0.9528243327
124	0.1345144054	0.9515828678
125	0.1339794903	0.9528243327
126	0.1333665987	0.9546865301
127	0.1332390077	0.9546865301
128	0.1317138521	0.9565487275
129	0.1315490723	0.95716946
130	0.1308201273	0.9565487275
131	0.1305998209	0.9565487275
132	0.1301994658	0.955927995
133	0.129811504	0.9577901924
134	0.1295951625	0.9577901924
135	0.1289143878	0.9590316574
136	0.1286804664	0.9590316574
137	0.1276153315	0.9590316574
138	0.1272211852	0.9596523898
139	0.1270799213	0.9596523898
140	0.1267965092	0.9590316574
141	0.1267246536	0.9590316574
142	0.1263668831	0.9590316574
143	0.1261728521	0.9602731223
144	0.1261336919	0.9608938547
145	0.1258026111	0.9602731223
146	0.125424227	0.9596523898
147	0.1252231767	0.9596523898
148	0.1249658851	0.9596523898
149	0.1246170195	0.9596523898
