iter	Passed	Remaining
0	109	16385
1	144	10682
2	226	11113
3	268	9796
4	287	8327
5	313	7518
6	339	6935
7	364	6463
8	395	6201
9	419	5875
10	443	5608
11	461	5306
12	479	5052
13	496	4825
14	515	4635
15	529	4436
16	554	4339
17	576	4226
18	600	4140
19	621	4036
20	644	3960
21	668	3887
22	692	3824
23	713	3747
24	733	3667
25	748	3569
26	769	3506
27	792	3453
28	816	3405
29	836	3347
30	856	3286
31	883	3257
32	904	3206
33	932	3180
34	961	3158
35	985	3121
36	1019	3113
37	1073	3164
38	1266	3605
39	1366	3758
40	1426	3791
41	1530	3935
42	1649	4104
43	1746	4206
44	1804	4210
45	1851	4185
46	1897	4157
47	1944	4132
48	1997	4118
49	2043	4087
50	2081	4041
51	2123	4002
52	2172	3976
53	2229	3963
54	2261	3906
55	2285	3836
56	2309	3767
57	2332	3699
58	2356	3634
59	2378	3568
60	2409	3515
61	2441	3464
62	2467	3408
63	2492	3349
64	2512	3285
65	2525	3214
66	2552	3162
67	2582	3113
68	2612	3066
69	2635	3012
70	2662	2962
71	2680	2904
72	2701	2849
73	2726	2800
74	2748	2748
75	2769	2696
76	2793	2648
77	2828	2610
78	2891	2598
79	2950	2581
80	3020	2573
81	3088	2560
82	3150	2543
83	3223	2532
84	3286	2513
85	3360	2500
86	3421	2477
87	3478	2450
88	3537	2424
89	3581	2387
90	3637	2358
91	3674	2316
92	3708	2272
93	3744	2230
94	3776	2186
95	3806	2140
96	3831	2093
97	3856	2046
98	3881	1999
99	3905	1952
100	3930	1906
101	3954	1861
102	3979	1816
103	4012	1774
104	4037	1730
105	4063	1686
106	4086	1642
107	4111	1598
108	4136	1555
109	4161	1513
110	4221	1483
111	4294	1457
112	4362	1428
113	4428	1398
114	4487	1365
115	4546	1332
116	4597	1296
117	4623	1253
118	4648	1210
119	4672	1168
120	4697	1125
121	4723	1084
122	4746	1041
123	4770	1000
124	4793	958
125	4819	918
126	4846	877
127	4873	837
128	4899	797
129	4924	757
130	4948	717
131	4974	678
132	5001	639
133	5035	601
134	5060	562
135	5084	523
136	5115	485
137	5144	447
138	5172	409
139	5203	371
140	5233	334
141	5262	296
142	5295	259
143	5322	221
144	5351	184
145	5377	147
146	5401	110
147	5441	73
148	5496	36
149	5526	0
